Citation (APA),"Participants (number, demographics, age, etc.)","Study Type (e.g., RCT, observational, etc.)",Self-ID (Yes / No / N/A / Not Reported),Inclusion stuttering behavioral criteria,Standardized assessment used for inclusion (Y/N + list tools),Behavioral measure used for inclusion (Y/N + list tools),Behavioral measure used for outcome variable (Y/N + list tools),Study qualifies? (Yes on G or H criteria?),Behavioral measures for outcomes,Extra behavioral measures,"Other measures (e.g., imaging, CAEPs, neuro data)",Speech sample used for inclusion only? (Y/N),Speech sample used for grouping/categorization? (Y/N),Speech Sample A (type or description),Speech Sample B (type or description),Speech Sample C (type or description),Accounted for Time? (Y/N),Accounted for Task? (Y/N),Accounted for Setting? (Y/N),Potentially ignored variability,Accounted for variability,Ignored variability,Notes 1,Notes 2,Questions,Reviewer,Date Reviewed,Abstract
Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported
Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported
Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported
"Ismail, N., Sallam, Y., Behery, R., & Al Boghdady, A. (2017). Cortical auditory evoked potentials in children who stutter. International Journal of Pediatric Otorhinolaryngology, 97, 93-101. https://doi.org/10.1016/j.ijporl.2017.03.030","60 children aged 8–18 years; 30 non-stuttering (control group), 30 stuttering (study group) with severity from Bloodstien I to IV; 23 males and 7 females; right-handed predominance",Case-control study,Not Reported,Stuttering severity classified by Bloodstien I to IV,"Y; Basic audiological evaluation, pure tone audiometry, speech recognition threshold, speech discrimination, immittancemetry",Y; CAEPs using speech stimuli,Y; CAEPs using speech stimuli,Y,CAEPs using speech stimuli,Not Reported,Not Reported,N,N,Not Reported,Not Reported,Not Reported,N,N,N,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Reviewer - ChatGPT,Date Reviewed: Not Reported,Impaired auditory processing may influence stuttering occurrence; speech perception in stuttering children differs from normal; CAEPs show potential in identifying auditory processing differences in stuttering severity.
"Ismail, N., Sallam, Y., Behery, R., & Al Boghdady, A. (2017). Cortical auditory evoked potentials in children who stutter. International Journal of Pediatric Otorhinolaryngology, 97, 93-101. https://doi.org/10.1016/j.ijporl.2017.03.030","60 children aged 8–18 years; 30 non-stuttering (control group), 30 stuttering (study group) with severity from Bloodstien I to IV",Case-control study,N,Stuttering severity classified by Bloodstien I to IV,"Y; Pure tone audiometry, speech recognition threshold, speech discrimination, immittancemetry",Y; Bloodstien classification of severity of stuttering,Y; Cortical auditory evoked potentials (CAEPs),Y,Cortical auditory evoked potentials (CAEPs),Not Reported,Not Reported,N,N,Not Reported,Not Reported,Not Reported,N,N,N,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,ChatGPT,2023-11-24,Impaired auditory processing may influence stuttering occurrence; speech perception in stuttering children differs from normal; CAEPs show potential in identifying auditory processing differences in stuttering severity.
"Ismail, N., Sallam, Y., Behery, R., & Al Boghdady, A. (2017). Cortical auditory evoked potentials in children who stutter. International Journal of Pediatric Otorhinolaryngology, 97, 93-101. https://doi.org/10.1016/j.ijporl.2017.03.030","60 children aged 8–18 years; 30 non-stuttering (control group), 30 stuttering (study group) with severity from Bloodstien I to IV; 23 males and 7 females; right-handed predominance",Case-control study,N,Stuttering severity classified by Bloodstien I to IV,"Y; Basic audiological evaluation, pure tone audiometry, speech recognition threshold, speech discrimination, immittancemetry",Y; CAEPs using speech stimuli,Y; CAEPs using speech stimuli,Y,CAEPs absolute latencies and amplitudes,Not Reported,CAEPs,N,N,Not Reported,Not Reported,Not Reported,N,N,N,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,ChatGPT,2023-11-24,Impaired auditory processing may influence stuttering occurrence. Speech perception in children who stutter differs from normal. Investigating auditory processing shortly after stuttering onset is crucial to understand its contribution to stuttering development.
"Ismail, N., Sallam, Y., Behery, R., & Al Boghdady, A. (2017). Cortical auditory evoked potentials in children who stutter. International Journal of Pediatric Otorhinolaryngology, 97, 93-101. https://doi.org/10.1016/j.ijporl.2017.03.030","60 children aged 8–18 years; 30 non-stuttering children (control group), 30 children who stutter (study group) with severity from Bloodstien I to IV",Case-control study,Y,"Children with stuttering severity from Bloodstien I to IV; no ear problems, systemic diseases, or previous phoniatric rehabilitation",Not Reported,Complete phoniatric history and evaluation; otological examination; basic audiological evaluation,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,ChatGPT,2025-10-23,"This study investigates the cortical auditory evoked potentials (CAEPs) in children who stutter compared to non-stuttering children, focusing on the latency and amplitude of the P1-N2 complex in response to speech stimuli. The study aims to explore how auditory processing differences might contribute to stuttering, particularly in children with severe stuttering symptoms."
CoDAS 30 (5) • 2018 • https://doi.org/10.1590/2317-1782/20182017259,"12 adults who stutter (AWS), 10 men and 2 women, aged 18-29 years",Clinical trial,Not Reported,18 years and above; seeking treatment for stuttering; onset of developmental stuttering occurred before 10 years of age; SS must be greater than 2% at the initial pre-treatment assessment stage,Not Reported,Not Reported,Not Reported,Percent of syllables stuttered (%SS); self-reported inventory scores; speech naturalness score evaluations,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,ChatGPT,2025-10-23,"This study describes a model for improving SLP education through intensive stuttering treatment delivered by students. Adults who stutter received treatment that significantly reduced stuttering and improved speech naturalness, demonstrating the effectiveness of student-delivered, evidence-based practice."
"Georgieva, D., Stoilova, R., Tcholakova, M. (2018). A clinical training model for students: intensive treatment of stuttering using prolonged speech. CoDAS, 30(5). https://doi.org/10.1590/2317-1782/20182017259","12 adults who stutter (AWS), 10 men and 2 women, aged 18-29 years (mean 22.5 years)",Clinical trial,Not Reported,18 years and above; seeking treatment for stuttering; onset of developmental stuttering occurred before 10 years of age; SS must be greater than 2% at the initial pre-treatment assessment stage,Not Reported,Not Reported,Not Reported,Percent of syllables stuttered (%SS); self-reported inventory scores; speech naturalness score evaluations,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,ChatGPT,2025-10-23,"This study describes a model for improving SLP education through intensive stuttering treatment delivered by students. Adults who stutter received treatment to increase fluent speech, with outcomes measured by %SS, inventory scores, and speech naturalness evaluations."
"Plexico, L. W., Erath, S., Shores, H., & Burrus, E. (2018). Self-acceptance, resilience, coping and satisfaction of life in people who stutter. Journal of Fluency Disorders, https://doi.org/10.1016/j.jfludis.2018.10.004",Not Reported,"47 people who stutter (PWS) and 47 people who do not stutter (PWNS); 46% female, 53% male; majority aged 24-29; education varied from some college to doctoral degrees",survey,Y,Not Reported,N,Not Reported,N,Not Reported,N,Not Reported,N,Not Reported,Y,N,Not Reported,N,Not Reported,N,Not Reported,N,Not Reported,N,N,Not Reported,N,Not Reported,N,Not Reported,N,Not Reported,N,N,Not Reported,N,Not Reported,N,Not Reported,2025-11-05,Not Reported
"Zengin-Bolatkale, H., Conture, E. G., & Walden, T. A. (2018). Sympathetic arousal as a marker of chronicity in childhood stuttering. Developmental Neuropsychology, 43(2), 135-151. doi: 10.1080/87565641.2018.1432621",Not Reported,"49 children; 9 children with persisting stuttering, 23 children who recovered, 17 children who do not stutter",longitudinal; experimental,Not applicable,stuttered disfluencies per 100 words; score at least 11 on the Stuttering Severity Instrument (SSI),Y,SSI,Y,stuttered disfluencies per 100 words,N,Not Reported,N,Not Reported,This study is qualified for review. Please continue the survey.,N,30 picture cards displaying simple objects or actions; participants instructed to name each picture as rapidly as possible,N,Not Reported,N,Not Reported,N,Not Reported,Did not account for variability,N,Not Reported,N,Not Reported,N,Not Reported,N,Not Reported,Did not account for variability,N,Not Reported,N,Not Reported,N,Not Reported,2025-11-05,Not Reported
"Iverach, L., Jones, M., Lowe, R., O’Brian, S., Menzies, R. G., Packman, A., & Onslow, M. (2019). Characteristics of adults who stutter by treatments sought. Logopedics Phoniatrics Vocology, 44(3), 134-142. https://doi.org/10.1080/14015439.2018.1452976",Not Reported,"288 adults who stutter (18–80 years); 230 males and 58 females; majority married or in a relationship (53.2%); over half had university degrees (53.1%); most employed (72.0%); 49.3% spoke only English, 43.8% bilingual",experimental; group comparison; clinical trial,Not Reported,developmental stuttering present before 12 years of age; no previous therapy in the six months prior to commencement in the present study; presence of stuttering confirmed by participant and speech pathologist during assessment,Y,SSI; TOCS,Y,Percentage of syllables stuttered (%SS),Y,Percentage of syllables stuttered (%SS),Y,Percentage of syllables stuttered (%SS),This study is qualified for review. Please continue the survey.,Y,Two 10-minute speech samples from unscheduled beyond-clinic phone calls; routine and challenging calls; audio-recorded with consent,Y,2,Y,2,Y,2,Accounted for variability,Y,Two 10-minute speech samples from unscheduled beyond-clinic phone calls; routine and challenging calls; audio-recorded with consent,Y,2,Y,2,Y,2,Accounted for variability,Y,Two 10-minute speech samples from unscheduled beyond-clinic phone calls; routine and challenging calls; audio-recorded with consent,Y,2,Y,2,2025-11-05,2
"Shimada, M., Toyomura, A., Fujii, T., & Minami, T. (2018). Children who stutter at 3 years of age: A community-based study. Journal of Fluency Disorders, 56, 45-54. https://doi.org/10.1016/j.jfludis.2018.02.002",Not Reported,2274 children; 1172 males and 1102 females,observational; cross-sectional,Not applicable,Not Reported,N,Not Reported,N,Not Reported,N,Not Reported,N,Not Reported,Y,N,Not Reported,N,Not Reported,N,Not Reported,N,Not Reported,Did not account for variability,N,Not Reported,N,Not Reported,N,Not Reported,N,Not Reported,Did not account for variability,N,Not Reported,N,Not Reported,N,Not Reported,2025-11-05,Not Reported
